Preco,m2,Dormitorios,Banheiros,mobiliado,Rua,Bairro,Cidade,Vagas,Suite,url
"789.999,99","118,30",2,1,Sim,Centro,Centro,Gramado,"1,00",1,https://www.premiumimoveisgramado.com.br/imovel/venda-apartamentos-02-dormitorio-em-gramado/apartamento-de-dois-dormitorios-bem-localizado/29639
"799.999,00","114,63",2,1,Sim,Planalto,Planalto,Gramado,"1,00",2,https://www.premiumimoveisgramado.com.br/imovel/venda-apartamentos-02-dormitorio-em-gramado/apartamento-/29219
"849.999,00","136,30",2,2,Sim,Centro,Centro,Gramado,"1,00",1,https://www.premiumimoveisgramado.com.br/imovel/venda-apartamentos-02-dormitorio-em-gramado/apartamento-mobiliado-e-decorado/29310
"849.999,99","70,00",2,2,Sim,Ermelinda Barbacovi,Bavária,Gramado,"1,00",0,https://www.premiumimoveisgramado.com.br/imovel/venda-apartamentos-02-dormitorio-em-gramado/otimo-apto-em-bairro-nobre-de-gramado/25345
"889.999,00","100,00",2,1,Sim,Centro,Centro,Gramado,"1,00",1,https://www.premiumimoveisgramado.com.br/imovel/venda-apartamentos-02-dormitorio-em-gramado/apartamento-2-dormitorios-no-centro-de-gramado/29504
"899.000,00","151,25",3,3,Sim,Centro,Centro,Gramado,"1,00",1,"https://www.premiumimoveisgramado.com.br/imovel/venda-apartamentos-03-dormitorio-em-gramado/venha-morar-no-centro,-predio-com-infra-estrutura/27764"
"899.990,00","0,00",2,1,Sim,Rua Gil,Centro,Gramado,"1,00",1,https://www.premiumimoveisgramado.com.br/imovel/venda-apartamentos-02-dormitorio-em-gramado/apartamento-2-dorm.-no-centro-de-gramado/5659
"900.000,00","0,00",2,2,Sim,Rua Reinaldo Baqui,Centro,Gramado,"2,00",2,https://www.premiumimoveisgramado.com.br/imovel/venda-apartamentos-02-dormitorio-em-gramado/apartamento-/29838
"903.900,00","0,00",3,2,Sim,Rua São Pedro,Centro,Gramado,"1,00",1,https://www.premiumimoveisgramado.com.br/imovel/venda-apartamentos-03-dormitorio-em-gramado/apartamento-3-dorm.-proximo-ao-centro-de-gramado/29834
"949.999,00","0,00",2,3,Semi,Rua Sturmhoffel,Centro,Gramado,"1,00",1,https://www.premiumimoveisgramado.com.br/imovel/venda-apartamentos-02-dormitorio-em-gramado/apartamento-2-dorm.-no-centro-de-gramado/29620
"957.990,00","0,00",2,2,Sim,Moura,Moura,Gramado,"1,00",1,https://www.premiumimoveisgramado.com.br/imovel/venda-apartamentos-02-dormitorio-em-gramado/apartamento-de-cobertura-novo/29286
"957.999,00","0,00",1,1,Semi,Planalto,Planalto,Gramado,"1,00",2,https://www.premiumimoveisgramado.com.br/imovel/venda-apartamentos-02-dormitorio-em-gramado/excelente-apartamento-proximo-ao-lago-rita-bier-/27867
"989.999,90","0,00",2,1,Sim,Planalto,Planalto,Gramado,"1,00",0,https://www.premiumimoveisgramado.com.br/imovel/venda-apartamentos-02-dormitorio-em-gramado/apartamento-de-2d-finamente-mobiliado/29397
"990.000,00","118,00",2,2,Sim,Centro,Centro,Gramado,"1,00",1,https://www.premiumimoveisgramado.com.br/imovel/venda-apartamentos-02-dormitorio-em-gramado/apartamento-2-dormitorios-no-centro-de-gramado/29491
"999.990,00","84,37",2,2,Sim,Planalto,Planalto,Gramado,"1,00",1,https://www.premiumimoveisgramado.com.br/imovel/venda-apartamentos-02-dormitorio-em-gramado/maravilhoso-apartamento-mobiliado/29973
